,Documents/Jerry Decided To Buy a Gun.txt,Documents/Rentals at the Oceanside Community.txt,Documents/Gasoline Prices Hit Record High.txt,Documents/Cloning Pets.txt,Documents/Crazy Housing Prices.txt,Documents/Man Injured at Fast Food Place.txt,Documents/A Festival of Books.txt,Documents/Food Fight Erupted in Prison.txt,Documents/Better To Be Unlucky.txt,Documents/Sara Went Shopping.txt,Documents/Freeway Chase Ends at Newsstand.txt,Documents/Trees Are a Threat.txt,Documents/A Murder-Suicide.txt,Documents/Happy and Unhappy Renters.txt,Documents/Pulling Out Nine Tons of Trash.txt
Documents/Jerry Decided To Buy a Gun.txt,1.0000000000000004,0.25104124669179984,0.27215393371924546,0.30021862331214466,0.3970360544664141,0.2508695176852229,0.3065870157923364,0.2375374142655905,0.29083226194068545,0.2521216903195729,0.21564712168899355,0.24119924977213894,0.34131223924475274,0.2773773697560339,0.33981925300919225
Documents/Rentals at the Oceanside Community.txt,0.25104124669179984,1.0000000000000069,0.21659361359836302,0.22081220196905896,0.30475798070062826,0.15929511506436952,0.2664546784476713,0.19742840419462568,0.22559673830962657,0.17116094154256473,0.1749640308351145,0.22110865539270508,0.27651835673587205,0.26382234327701337,0.2739784509808982
Documents/Gasoline Prices Hit Record High.txt,0.27215393371924546,0.21659361359836302,0.9999999999999997,0.23115778205104862,0.3347519194841021,0.17237038625244347,0.2411973638361562,0.1809146421317031,0.23879470937499284,0.19421276615583682,0.16909077040330844,0.20451038686859557,0.28396088088970356,0.2062102142173751,0.25332151553777466
Documents/Cloning Pets.txt,0.30021862331214466,0.22081220196905896,0.23115778205104862,1.0000000000000002,0.35926545454758163,0.20477576364806419,0.2624762228258541,0.20794334880567092,0.26023181309743043,0.178586867652201,0.16615040072718157,0.20773938512231688,0.2815750412613713,0.21963374050256906,0.29715943655817817
Documents/Crazy Housing Prices.txt,0.3970360544664141,0.30475798070062826,0.3347519194841021,0.35926545454758163,1.0000000000000067,0.24942369247069407,0.3490527249810753,0.2710704794936543,0.34113829549742786,0.24869800021741603,0.21882255548315396,0.30125674763035415,0.39481722615274706,0.32732195186468566,0.40316059573090063
Documents/Man Injured at Fast Food Place.txt,0.2508695176852229,0.15929511506436952,0.17237038625244347,0.20477576364806419,0.24942369247069407,0.9999999999999999,0.19441911534452413,0.14974043649906438,0.17540112342631267,0.144607267016785,0.13531892000590148,0.14455604479254547,0.2098152378775903,0.17557095196735875,0.2026996289607086
Documents/A Festival of Books.txt,0.3065870157923364,0.2664546784476713,0.2411973638361562,0.2624762228258541,0.3490527249810753,0.19441911534452413,1.000000000000001,0.2309755854694366,0.2507550112966396,0.18546583161444305,0.22507782701877618,0.2309789331711785,0.31906399760879683,0.26787953611058696,0.3095039044324089
Documents/Food Fight Erupted in Prison.txt,0.2375374142655905,0.19742840419462568,0.1809146421317031,0.20794334880567092,0.2710704794936543,0.14974043649906438,0.2309755854694366,1.0,0.20465672365503504,0.1427486916875108,0.1647722387503775,0.17851734818450227,0.2577389848431455,0.18523984724600312,0.25252485395336177
Documents/Better To Be Unlucky.txt,0.29083226194068545,0.22559673830962657,0.23879470937499284,0.26023181309743043,0.34113829549742786,0.17540112342631267,0.2507550112966396,0.20465672365503504,1.000000000000001,0.20310105043296667,0.20727006984869586,0.23771681861546393,0.2804660614356351,0.25628123332796177,0.28703687749187223
Documents/Sara Went Shopping.txt,0.2521216903195729,0.17116094154256473,0.19421276615583682,0.178586867652201,0.24869800021741603,0.144607267016785,0.18546583161444305,0.1427486916875108,0.20310105043296667,0.9999999999999999,0.14475138515288066,0.1816712637526954,0.2301479392374729,0.19675098210116834,0.18739420890899974
Documents/Freeway Chase Ends at Newsstand.txt,0.21564712168899355,0.1749640308351145,0.16909077040330844,0.16615040072718157,0.21882255548315396,0.13531892000590148,0.22507782701877618,0.1647722387503775,0.20727006984869586,0.14475138515288066,1.0000000000000009,0.16523116965744356,0.22492226627406772,0.19470567038567452,0.20851568640069842
Documents/Trees Are a Threat.txt,0.24119924977213894,0.22110865539270508,0.20451038686859557,0.20773938512231688,0.30125674763035415,0.14455604479254547,0.2309789331711785,0.17851734818450227,0.23771681861546393,0.1816712637526954,0.16523116965744356,1.0000000000000062,0.25189053282268464,0.21155850202952525,0.24148340686685943
Documents/A Murder-Suicide.txt,0.34131223924475274,0.27651835673587205,0.28396088088970356,0.2815750412613713,0.39481722615274706,0.2098152378775903,0.31906399760879683,0.2577389848431455,0.2804660614356351,0.2301479392374729,0.22492226627406772,0.25189053282268464,0.9999999999999997,0.3272805305328759,0.31058865520225815
Documents/Happy and Unhappy Renters.txt,0.2773773697560339,0.26382234327701337,0.2062102142173751,0.21963374050256906,0.32732195186468566,0.17557095196735875,0.26787953611058696,0.18523984724600312,0.25628123332796177,0.19675098210116834,0.19470567038567452,0.21155850202952525,0.3272805305328759,1.0000000000000004,0.24680258893311363
Documents/Pulling Out Nine Tons of Trash.txt,0.33981925300919225,0.2739784509808982,0.25332151553777466,0.29715943655817817,0.40316059573090063,0.2026996289607086,0.3095039044324089,0.25252485395336177,0.28703687749187223,0.18739420890899974,0.20851568640069842,0.24148340686685943,0.31058865520225815,0.24680258893311363,1.0
